pid,title,brand,category,sub_category,description,actual_price,average_rating,discount,selling_price,Color,Ideal For,Maximum Age,Minimum Age,Occasion,Season,Size,Suitable For,Type,Style,images,url
TKPFCZ9ENWGMX23W,"Checkered Men Blue, Black, Grey Track Pants",York,Clothing and Accessories,Bottomwear,"Yorker trackpants made from 100% rich combed cotton giving it a rich look.Designed for Comfort,Skin friendly fabric,itch-free waistband & great for all year round use Proudly made in India","4,499",3.8,76% off,"1,074",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"['https://rukminim1.flixcart.com/image/128/128/jr58l8w0/track-pant/f/s/v/l-1005combo9-yorker-original-imafczg3dpa5s3hb.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/jr58l8w0/track-pant/f/s/v/m-1005combo9-yorker-original-imafczez7buydy6r.jpeg?q=70']",https://www.flipkart.com/yorker-checkered-men-blue-black-grey-track-pants/p/itm3f7ece4206f59?pid=TKPFCZ9ENWGMX23W&lid=LSTTKPFCZ9ENWGMX23WXOLPHW&marketplace=FLIPKART&srno=b_1_11&otracker=browse&fm=organic&iid=177a46eb-d053-4732-b3de-fcad6ff59cbd.TKPFCZ9ENWGMX23W.SEARCH&ssid=utkd4t3gb40000001612415717799
TKPFZFSHHACG3FHC,Solid Men Multicolor Track Pants,York,Clothing and Accessories,Bottomwear,,"1,800",3.3,49% off,911,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"['https://rukminim1.flixcart.com/image/128/128/kjhgzgw0-0/track-pant/4/p/x/s-fully-cotton-yorker-original-imafzfshqhudwhbg.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kjhgzgw0-0/track-pant/w/d/8/s-fully-cotton-yorker-original-imafzfshx9umgknx.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kjhgzgw0-0/track-pant/8/d/m/s-fully-cotton-yorker-original-imafzfshcybgwa9a.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kjhgzgw0-0/track-pant/q/e/p/s-fully-cotton-yorker-original-imafzfsh7vk42dvw.jpeg?q=70']",https://www.flipkart.com/yorker-solid-men-multicolor-track-pants/p/itm6294ab9c88fa0?pid=TKPFZFSHHACG3FHC&lid=LSTTKPFZFSHHACG3FHC5MQRMV&marketplace=FLIPKART&srno=b_1_12&otracker=browse&fm=organic&iid=177a46eb-d053-4732-b3de-fcad6ff59cbd.TKPFZFSHHACG3FHC.SEARCH&ssid=utkd4t3gb40000001612415717799
TKPFZFSHQPDRGZTM,Solid Men Multicolor Track Pants,York,Clothing and Accessories,Bottomwear,,"1,800",3.3,49% off,911,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"['https://rukminim1.flixcart.com/image/128/128/kjhgzgw0-0/track-pant/6/2/m/xxl-fully-cotton-yorker-original-imafzfsh5zyrtjbm.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kjhgzgw0-0/track-pant/n/a/k/xxl-fully-cotton-yorker-original-imafzfsh86cmkzyf.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kjhgzgw0-0/track-pant/s/c/y/xxl-fully-cotton-yorker-original-imafzfshenwtpwdu.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kjhgzgw0-0/track-pant/j/r/h/xxl-fully-cotton-yorker-original-imafzfshpvkg5n6w.jpeg?q=70']",https://www.flipkart.com/yorker-solid-men-multicolor-track-pants/p/itm0a333fd121f87?pid=TKPFZFSHQPDRGZTM&lid=LSTTKPFZFSHQPDRGZTMAK2EYV&marketplace=FLIPKART&srno=b_1_13&otracker=browse&fm=organic&iid=177a46eb-d053-4732-b3de-fcad6ff59cbd.TKPFZFSHQPDRGZTM.SEARCH&ssid=utkd4t3gb40000001612415717799
TKPFZ4YTRF3ZRTTH,Self Design Men Multicolor Track Pants,York,Clothing and Accessories,Bottomwear,,"2,700",3.3,61% off,"1,042",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"['https://rukminim1.flixcart.com/image/128/128/kjkbv680-0/track-pant/r/h/p/xxl-cotton-pant-yorker-original-imafz4ytfgheaxbz.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kjkbv680-0/track-pant/1/r/f/l-cotton-pant-yorker-original-imafz4ytztezpyvc.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kjkbv680-0/track-pant/a/3/m/l-cotton-pant-yorker-original-imafz4ytxhhfgpyd.jpeg?q=70']",https://www.flipkart.com/yorker-self-design-men-multicolor-track-pants/p/itmc19f96eb88a8b?pid=TKPFZ4YTRF3ZRTTH&lid=LSTTKPFZ4YTRF3ZRTTH7ZP6ME&marketplace=FLIPKART&srno=b_1_14&otracker=browse&fm=organic&iid=177a46eb-d053-4732-b3de-fcad6ff59cbd.TKPFZ4YTRF3ZRTTH.SEARCH&ssid=utkd4t3gb40000001612415717799
TKPFZ4YTJZWBFYFZ,Self Design Men Multicolor Track Pants,York,Clothing and Accessories,Bottomwear,,"2,700",3.3,61% off,"1,043",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"['https://rukminim1.flixcart.com/image/128/128/kjkbv680-0/track-pant/c/0/n/xl-cotton-pant-yorker-original-imafz4ythfyegzuw.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kjkbv680-0/track-pant/t/d/f/xl-cotton-pant-yorker-original-imafz4ytnbgwv5jz.jpeg?q=70']",https://www.flipkart.com/yorker-self-design-men-multicolor-track-pants/p/itmf98011c4e2fee?pid=TKPFZ4YTJZWBFYFZ&lid=LSTTKPFZ4YTJZWBFYFZ5VXCEH&marketplace=FLIPKART&srno=b_1_15&otracker=browse&fm=organic&iid=177a46eb-d053-4732-b3de-fcad6ff59cbd.TKPFZ4YTJZWBFYFZ.SEARCH&ssid=utkd4t3gb40000001612415717799
TKPFZFSH3F9ZA7C6,Solid Men Multicolor Track Pants,York,Clothing and Accessories,Bottomwear,,"1,800",3.3,48% off,921,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"['https://rukminim1.flixcart.com/image/128/128/kjhgzgw0-0/track-pant/r/q/m/m-fully-cotton-yorker-original-imafzfshpyny7ggc.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kjhgzgw0-0/track-pant/7/g/p/m-solid-yorker-original-imafzfpynnyzvazz.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kjhgzgw0-0/track-pant/n/a/f/m-fully-cotton-yorker-original-imafzfshga6vyz3g.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kjhgzgw0-0/track-pant/3/4/w/m-fully-cotton-yorker-original-imafzfshtgbpha2g.jpeg?q=70']",https://www.flipkart.com/yorker-solid-men-multicolor-track-pants/p/itmc7b0af9bdd777?pid=TKPFZFSH3F9ZA7C6&lid=LSTTKPFZFSH3F9ZA7C6KDD9DD&marketplace=FLIPKART&srno=b_1_16&otracker=browse&fm=organic&iid=177a46eb-d053-4732-b3de-fcad6ff59cbd.TKPFZFSH3F9ZA7C6.SEARCH&ssid=utkd4t3gb40000001612415717799
TKPFZ4YT7ZNYXG27,Self Design Men Multicolor Track Pants,York,Clothing and Accessories,Bottomwear,,"2,700",3.3,61% off,"1,046",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"['https://rukminim1.flixcart.com/image/128/128/kjkbv680-0/track-pant/r/1/q/l-cotton-pant-yorker-original-imafz4ytabbddsja.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kjkbv680-0/track-pant/2/7/t/xxl-cotton-pant-yorker-original-imafz4ytpcphyqqw.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kjkbv680-0/track-pant/t/k/k/l-cotton-pant-yorker-original-imafz4ytd2frgucb.jpeg?q=70']",https://www.flipkart.com/yorker-self-design-men-multicolor-track-pants/p/itm0b0f95e1d841a?pid=TKPFZ4YT7ZNYXG27&lid=LSTTKPFZ4YT7ZNYXG27N3GGQ6&marketplace=FLIPKART&srno=b_1_17&otracker=browse&fm=organic&iid=177a46eb-d053-4732-b3de-fcad6ff59cbd.TKPFZ4YT7ZNYXG27.SEARCH&ssid=utkd4t3gb40000001612415717799
TKPFZ4YTGNZJDZDU,Self Design Men Multicolor Track Pants,York,Clothing and Accessories,Bottomwear,,"2,700",3.3,61% off,"1,044",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"['https://rukminim1.flixcart.com/image/128/128/kjkbv680-0/track-pant/v/t/q/l-cotton-pant-yorker-original-imafz4ytedyhq2a6.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kjkbv680-0/track-pant/v/j/w/xs-cotton-pant-yorker-original-imafz4ytnfuujzfq.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kjkbv680-0/track-pant/j/l/7/xl-cotton-pant-yorker-original-imafz4ytpcpxyacu.jpeg?q=70']",https://www.flipkart.com/yorker-self-design-men-multicolor-track-pants/p/itmfbe08d96329c9?pid=TKPFZ4YTGNZJDZDU&lid=LSTTKPFZ4YTGNZJDZDUX3RSU3&marketplace=FLIPKART&srno=b_1_18&otracker=browse&fm=organic&iid=177a46eb-d053-4732-b3de-fcad6ff59cbd.TKPFZ4YTGNZJDZDU.SEARCH&ssid=utkd4t3gb40000001612415717799
TKPFZ4YTX94CY9JX,Self Design Men Multicolor Track Pants,York,Clothing and Accessories,Bottomwear,,"2,700",3.3,61% off,"1,039",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"['https://rukminim1.flixcart.com/image/128/128/kjkbv680-0/track-pant/v/q/5/xl-cotton-pant-yorker-original-imafz4ytqan7fczs.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kjkbv680-0/track-pant/w/w/6/xs-cotton-pant-yorker-original-imafz4ytxqhcfkf2.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kjkbv680-0/track-pant/v/j/w/xs-cotton-pant-yorker-original-imafz4ytnfuujzfq.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/kjkbv680-0/track-pant/b/o/p/m-cotton-pant-yorker-original-imafz4ytarfztw3g.jpeg?q=70']",https://www.flipkart.com/yorker-self-design-men-multicolor-track-pants/p/itm25b03958aa8f2?pid=TKPFZ4YTX94CY9JX&lid=LSTTKPFZ4YTX94CY9JXD681JV&marketplace=FLIPKART&srno=b_1_19&otracker=browse&fm=organic&iid=177a46eb-d053-4732-b3de-fcad6ff59cbd.TKPFZ4YTX94CY9JX.SEARCH&ssid=utkd4t3gb40000001612415717799
TKPFCZ9EHCNAPKPU,Solid Men Multicolor Track Pants,York,Clothing and Accessories,Bottomwear,"Yorker trackpants made from 100% rich combed cotton giving it a rich look.Designed for Comfort,Skin friendly fabric,itch-free waistband & great for all year round use Proudly made in India","2,999",3.9,69% off,921,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"['https://rukminim1.flixcart.com/image/128/128/jr3t5e80/track-pant/8/k/h/xxl-1005combo5-yorker-original-imafczgcyerp9d4u.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/jrjizrk0/track-pant/f/h/e/l-1005navi-yorker-original-imafczg3qwg7xhze.jpeg?q=70']",https://www.flipkart.com/yorker-solid-men-multicolor-track-pants/p/itm6ecdb5c8a6a80?pid=TKPFCZ9EHCNAPKPU&lid=LSTTKPFCZ9EHCNAPKPUQEOKAE&marketplace=FLIPKART&srno=b_1_20&otracker=browse&fm=organic&iid=177a46eb-d053-4732-b3de-fcad6ff59cbd.TKPFCZ9EHCNAPKPU.SEARCH&ssid=utkd4t3gb40000001612415717799
TKPFDACEXAWUHGR7,Solid Men Dark Blue Track Pants,York,Clothing and Accessories,Bottomwear,"Yorker trackpants made from 100% rich combed cotton giving it a rich look.Designed for Comfort,Skin friendly fabric,itch-free waistband & great for all year round use Proudly made in India","1,799",4.5,70% off,531,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"['https://rukminim1.flixcart.com/image/128/128/jrjizrk0/track-pant/u/n/m/xl-gl1700navi-yorker-original-imafdb8ffbfhhucu.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/jrjizrk0/track-pant/e/x/q/xxl-gl1700combo10-yorker-original-imafdb8cvhsdbpqq.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/jrjizrk0/track-pant/h/z/x/s-gl1700combo6-yorker-original-imafdb8cjefhq3gv.jpeg?q=70']",https://www.flipkart.com/yorker-solid-men-dark-blue-track-pants/p/itm5106fe4fef073?pid=TKPFDACEXAWUHGR7&lid=LSTTKPFDACEXAWUHGR7RAZKW6&marketplace=FLIPKART&srno=b_1_21&otracker=browse&fm=organic&iid=177a46eb-d053-4732-b3de-fcad6ff59cbd.TKPFDACEXAWUHGR7.SEARCH&ssid=utkd4t3gb40000001612415717799
TKPFCZ9ETR6YVXNG,Color Block Men Grey Track Pants,York,Clothing and Accessories,Bottomwear,"Yorker trackpants made from 100% rich combed cotton giving it a rich look.Designed for Comfort,Skin friendly fabric,itch-free waistband & great for all year round use Proudly made in India","1,499",3.8,67% off,489,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"['https://rukminim1.flixcart.com/image/128/128/jr3t5e80/track-pant/j/v/h/xl-1005slgrey-yorker-original-imafczg3xpqt8ugp.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/jr58l8w0/track-pant/w/d/a/l-1005combo8-yorker-original-imafczg3pgtxgraq.jpeg?q=70']",https://www.flipkart.com/yorker-color-block-men-grey-track-pants/p/itmfczg3vcpsqscg?pid=TKPFCZ9ETR6YVXNG&lid=LSTTKPFCZ9ETR6YVXNGSJGGXR&marketplace=FLIPKART&srno=b_1_22&otracker=browse&fm=organic&iid=177a46eb-d053-4732-b3de-fcad6ff59cbd.TKPFCZ9ETR6YVXNG.SEARCH&ssid=utkd4t3gb40000001612415717799
TKPFD3K6K5TNYZGF,Color Block Men Grey Track Pants,York,Clothing and Accessories,Bottomwear,"Yorker trackpants made from 100% rich combed cotton giving it a rich look.Designed for Comfort,Skin friendly fabric,itch-free waistband & great for all year round use Proudly made in India","1,799",4.5,70% off,531,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"['https://rukminim1.flixcart.com/image/128/128/jraycnk0/track-pant/z/g/f/m-gl1700drkgrey-yorker-original-imafd4vgpgy7f2fa.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/jrjizrk0/track-pant/9/g/h/xl-gl1700combo2-yorker-original-imafd4ve8frdwwjf.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/jrjizrk0/track-pant/9/g/h/xxl-gl1700combo2-yorker-original-imafd4veqbzt6h5d.jpeg?q=70']",https://www.flipkart.com/yorker-color-block-men-grey-track-pants/p/itmfd4vcvzqzjms5?pid=TKPFD3K6K5TNYZGF&lid=LSTTKPFD3K6K5TNYZGFUZEOF7&marketplace=FLIPKART&srno=b_1_23&otracker=browse&fm=organic&iid=177a46eb-d053-4732-b3de-fcad6ff59cbd.TKPFD3K6K5TNYZGF.SEARCH&ssid=utkd4t3gb40000001612415717799
TKPFCZ9EGGYENTZS,Color Block Men Multicolor Track Pants,York,Clothing and Accessories,Bottomwear,"Yorker trackpants made from 100% rich combed cotton giving it a rich look.Designed for Comfort,Skin friendly fabric,itch-free waistband & great for all year round use Proudly made in India","4,599",3.8,76% off,"1,074",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"['https://rukminim1.flixcart.com/image/128/128/jr3t5e80/track-pant/k/9/z/m-1005combo10-yorker-original-imafczg3bmqfhprz.jpeg?q=70', 'https://rukminim1.flixcart.com/image/128/128/jrjizrk0/track-pant/f/h/e/l-1005navi-yorker-original-imafczg3qwg7xhze.jpeg?q=70']",https://www.flipkart.com/yorker-color-block-men-multicolor-track-pants/p/itm8dec19b465737?pid=TKPFCZ9EGGYENTZS&lid=LSTTKPFCZ9EGGYENTZSSYFDOI&marketplace=FLIPKART&srno=b_1_24&otracker=browse&fm=organic&iid=177a46eb-d053-4732-b3de-fcad6ff59cbd.TKPFCZ9EGGYENTZS.SEARCH&ssid=utkd4t3gb40000001612415717799
